id,director,top_billed,budget_usd,revenue_usd
5156,David E. Talbert,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills",,
5157,David Raymond,"Henry Cavill, Ben Kingsley, Alexandra Daddario, Stanley Tucci, Brendan Fletcher",,1012932
5158,Craig Gillespie,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana, Holliday Grainger",80000000,52099090
5159,William Friedkin,"Al Pacino, Paul Sorvino, Karen Allen, Richard Cox, Don Scardino",11000000,19814523
5160,Harold Becker,"Al Pacino, Ellen Barkin, John Goodman, Michael Rooker, William Hickey",19000000,110879513
5161,Evan Spiliotopoulos,"Jeffrey Dean Morgan, Cricket Brown, William Sadler, Katie Aselton, Cary Elwes",10000000,30800000
5162,Doug Liman,"Tom Holland, Daisy Ridley, Mads Mikkelsen, Demián Bichir, David Oyelowo",125000000,26508132
5163,Andrew Fleming,"Evan Rachel Wood, Scott Speedman, J.K. Simmons, Treat Williams, Kate Burton",6000000,15071
5164,Adam Wingard,"Sharni Vinson, Nicholas Tucci, Wendy Glenn, AJ Bowen, Joe Swanberg",1000000,14347000
5165,Jake Scott,"Kristen Stewart, James Gandolfini, Melissa Leo, Joe Chrest, Ally Sheedy",,361960
5166,Mike Nichols,"Melanie Griffith, Harrison Ford, Sigourney Weaver, Alec Baldwin, Joan Cusack",28000000,103173635
5167,Woody Allen,"Scarlett Johansson, Woody Allen, Hugh Jackman, Ian McShane, Charles Dance",4000000,31584901
5168,Cédric Klapisch,"Romain Duris, Audrey Tautou, Cécile de France, Kelly Reilly, Sandrine Holt",,16968297
5169,Richard Linklater,"Jack Black, Shirley MacLaine, Matthew McConaughey, Brady Coleman, Richard Robichaux",5000000,9206470
5170,Jon Watts,"George Clooney, Brad Pitt, Austin Abrams, Amy Ryan, Poorna Jagannathan",80000000,
5171,Ben Palmer,"Simon Pegg, Lake Bell, Rory Kinnear, Ken Stott, Harriet Walter",,3000000
5172,Fred Cavayé,"Bérénice Bejo, Stéphane De Groodt, Suzanne Clément, Roschdy Zem, Doria Tillier",8500000,
5173,Paul W. S. Anderson,"Milla Jovovich, Tony Jaa, Ron Perlman, T.I., Diego Boneta",60000000,42145959
5174,Gerard Johnstone,"Morgana O'Reilly, Rima Te Wiata, Glen-Paul Waru, Ross Harper, Cameron Rhodes",,
5175,Roger Corman,"Vincent Price, Hazel Court, Jane Asher, David Weston, Nigel Green",,
5176,Walter Hill,"Richard Pryor, John Candy, Lonette McKee, Stephen Collins, Jerry Orbach",20000000,45833132
5177,Mike Leigh,"Sally Hawkins, Eddie Marsan, Alexis Zegerman, Sylvestra Le Touzel, Stanley Townsend",,18696602
5178,Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci, Rene Russo, Chris Rock",140000000,285400000
5179,Ric Roman Waugh,"Gerard Butler, Morgan Freeman, Jada Pinkett Smith, Nick Nolte, Danny Huston",40000000,146661977
5180,Sam Liu,"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, John DiMaggio",3500000,3775000
5181,Ridley Scott,"Michael Douglas, Andy García, Ken Takakura, Kate Capshaw, Yūsaku Matsuda",30000000,134212055
5182,Richard Eyre,"Emma Thompson, Stanley Tucci, Fionn Whitehead, Jason Watkins, Anthony Calf",,17696794
5183,James Mangold,"Harrison Ford, Phoebe Waller-Bridge, Mads Mikkelsen, Boyd Holbrook, Olivier Richters",294700000,383963057
5184,Paolo Virzì,"Isabella Ragonese, Massimo Ghini, Valerio Mastandrea, Micaela Ramazzotti, Elio Germano",6150000,5788176
5185,David R. Ellis,"Michael J. Fox, Sally Field, Ralph Waite, Robert Hays, Kim Greist",,32709423
5186,Martin Scorsese,"Liza Minnelli, Robert De Niro, Lionel Stander, Barry Primus, Mary Kay Place",14000000,16400000
5187,Neil Jordan,"Jodie Foster, Terrence Howard, Nicky Katt, Naveen Andrews, Mary Steenburgen",70000000,69766619
5188,Len Wiseman,"Kate Beckinsale, Scott Speedman, Tony Curran, Shane Brolly, Derek Jacobi",50000000,111476513
5189,Riley Stearns,"Jesse Eisenberg, Alessandro Nivola, Imogen Poots, Steve Terada, David Zellner",1800000,2400000
5190,Stéphane Brizé,"Vincent Lindon, Karine de Mirbeck, Mathieu Schaller, Yves Ory, Xavier Mathieu",,106498
5191,Jonathan Jakubowicz,"Edgar Ramírez, Robert De Niro, Usher, Rubén Blades, Ana de Armas",20000000,5000000
5192,Marie-Castille Mention-Schaar,"Esther Comar, Martin Cannavo, Vincent Perez, Judith El Zein, Lilly-Fleur Pointeaux",6180000,
5193,Bradley Raymond,"Nathan Lane, Ernie Sabella, Julie Kavner, Jerry Stiller, Matthew Broderick",,
5194,Toyoo Ashida,"Kaneto Shiozawa, Michie Tomizawa, Seizô Katô, Ichiro Nagai, Kazuyuki Sogabe",,
5195,Paul Weitz,"Jason Biggs, Chris Klein, Thomas Ian Nicholas, Alyson Hannigan, Shannon Elizabeth",11000000,235483004
5196,Juel Taylor,"John Boyega, Jamie Foxx, Teyonah Parris, Kiefer Sutherland, David Alan Grier",47000000,
5197,Alex Zamm,"Eric Bauza, Timothy Omundson, Thaila Ayala, Graham Verchere, Jordana Largy",10000000,15316635
5198,Woody Allen,"Dan Aykroyd, Helen Hunt, Woody Allen, Charlize Theron, David Ogden Stiers",,
5199,Shawn Levy,"Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney, Bill Cobbs",110000000,574480841
5200,Sean Charmatz,"Jacob Tremblay, Paul Walter Hauser, Angela Bassett, Colin Hanks, Natasia Demetriou",,
5201,Sidney Lumet,"Vin Diesel, Alex Rocco, Ron Silver, Peter Dinklage, Linus Roache",13000000,2636637
5202,Tanya Wexler,"Kate Beckinsale, Stanley Tucci, Bobby Cannavale, Jai Courtney, Laverne Cox",,238524
5203,Craig Johnson,"Daniel Doheny, Madeline Weinstein, Antonio Marziale, Daniel Zolghadri, Fred Hechinger",,
5204,Tatsuma Minamikawa,"Tetsuya Kakihara, Aya Hirano, Rie Kugimiya, Yuichi Nakamura, Sayaka Ohara",,
5205,Chuck Sheetz,"Andrew Lawrence, Rickey D'Shon Collins, Pamela Adlon, Ashley Johnson, Jason Davis",10000000,44460850
5206,Greg Beeman,"Corey Haim, Corey Feldman, Carol Kane, Richard Masur, Heather Graham",8000000,
5207,Choi Dong-hoon,"Ryu Jun-yeol, Kim Tae-ri, Kim Woo-bin, Lee Ha-nee, Yum Jung-ah",,10693858
5208,William Oldroyd,"Florence Pugh, Cosmo Jarvis, Paul Hilton, Naomi Ackie, Christopher Fairbank",,5245263
5209,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth",65000000,418800000
5210,Matthias Hoene,"Uriah Shelton, Ni Ni, Dave Bautista, Mark Chao, Francis Ng",,
5211,Ed Harris,"Viggo Mortensen, Ed Harris, Renée Zellweger, Jeremy Irons, Timothy Spall",20000000,20211394
5212,David Koepp,"Johnny Depp, John Turturro, Maria Bello, Timothy Hutton, Charles S. Dutton",40000000,92900000
5213,Yorgos Lanthimos,"Emma Stone, Jesse Plemons, Willem Dafoe, Margaret Qualley, Hong Chau",15000000,16150715
5214,Gil Kenan,"Mckenna Grace, Paul Rudd, Carrie Coon, Finn Wolfhard, Dan Aykroyd",100000000,201668200
5215,David Robert Mitchell,"Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary, Olivia Luccardi",2300000,23374076
5216,James Tucker,"Matt Bomer, John Noble, Stana Katic, Molly C. Quinn, Diedrich Bader",,2915767
5217,Stan Dragoti,"Michael Keaton, Teri Garr, Frederick Koehler, Taliesin Jaffe, Courtney-Jane White",,64783827
5218,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas",20000000,21300000
5219,Charlie Kaufman,"Jesse Plemons, Jessie Buckley, Toni Collette, David Thewlis, Guy Boyd",,
5220,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn, Ethan Suplee",100000000,167805466
5221,Savage Steve Holland,"John Cusack, David Ogden Stiers, Kim Darby, Demian Slade, Amanda Wyss",,10297601
5222,Jim Abrahams,"Charlie Sheen, Cary Elwes, Valeria Golino, Lloyd Bridges, Kevin Dunn",26000000,181096164
5223,Baz Luhrmann,"Paul Mercurio, Tara Morice, Bill Hunter, Pat Thomson, Gia Carides",3000000,33946224
5224,Steven Spielberg,"Goldie Hawn, Ben Johnson, Michael Sacks, William Atherton, Gregory Walcott",3000000,12800000
5225,Leonard Nimoy,"William Shatner, DeForest Kelley, James Doohan, George Takei, Walter Koenig",18000000,87000000
5226,Greg Barker,"Wagner Moura, Ana de Armas, Garret Dillahunt, Will Dalton, Bradley Whitford",16000000,
5227,Sara Colangelo,"Maggie Gyllenhaal, Parker Sevak, Gael García Bernal, Michael Chernus, Rosa Salazar",,
5228,Raúl Arévalo,"Antonio de la Torre, Luis Callejo, Ruth Díaz, Raúl Jiménez, Manolo Solo",1200000,1813729
5229,John Erick Dowdle,"Stacy Chbosky, Ben Messmer, Lou George, Ivar Brogger, Michael Lawson",,
5230,Michael Anderson,"Michael York, Richard Jordan, Jenny Agutter, Roscoe Lee Browne, Farrah Fawcett",9000000,25000000
5231,Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis",37000000,215394738
5232,Peter R. Hunt,"George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti, Ilse Steppat",7000000,82000000
5233,Christophe Gans,"Radha Mitchell, Sean Bean, Jodelle Ferland, Laurie Holden, Deborah Kara Unger",50000000,100605135
5234,Anna Kendrick,"Anna Kendrick, Daniel Zovatto, Tony Hale, Nicolette Robinson, Autumn Best",,
5235,Seth Gordon,"Jason Bateman, Charlie Day, Jason Sudeikis, Kevin Spacey, Jennifer Aniston",35000000,209838559
5236,Clint Eastwood,"Clint Eastwood, Jessica Walter, Donna Mills, John Larch, Jack Ging",725000,10600000
5237,Martin Campbell,"Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones, Stuart Wilson, Matt Letscher",95000000,250300000
5238,Matteo Garrone,"Federico Ielapi, Roberto Benigni, Marine Vacth, Gigi Proietti, Massimo Ceccherini",12400000,17133446
5239,Scott Cooper,"Christian Bale, Zoe Saldaña, Woody Harrelson, Sam Shepard, Willem Dafoe",22000000,15400000
5240,Thomas Bezucha,"Selena Gomez, Katie Cassidy, Leighton Meester, Cory Monteith, Andie MacDowell",20000000,39800000
5241,Adrian Grünberg,"Mel Gibson, Kevin Hernandez, Daniel Giménez Cacho, Peter Stormare, Jesús Ochoa",35000000,8826837
5242,Richard Rich,"Jack Palance, Howard McGillin, Michelle Nicastro, Liz Callaway, John Cleese",20000000,9771658
5243,D. J. Caruso,"Val Kilmer, Vincent D'Onofrio, Adam Goldberg, Luis Guzmán, Doug Hutchison",18000000,1073198
5244,Oxide Pang Shun,"Angelica Lee, Lawrence Chou Chun-Wai, Candy Lo, Edmund Chen, Yut Lai So",10706075,1766761
5245,Robert Redford,"Matt Damon, Will Smith, Charlize Theron, Bruce McGill, Joel Gretsch",80000000,39459427
5246,David Fincher,"Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard, Kerry O'Malley",175000000,362113
5247,Christian Alvart,"Ben Foster, Dennis Quaid, Cam Gigandet, Antje Traue, Cung Le",33000000,20648328
5248,Stephen Chiodo,"Grant Cramer, Suzanne Snyder, John Allen Nelson, John Vernon, Royal Dano",1800000,43625095
5249,Ken Kwapis,"Ginnifer Goodwin, Justin Long, Bradley Cooper, Scarlett Johansson, Jennifer Connelly",40000000,178866158
5250,Neil Jordan,"Chloë Grace Moretz, Isabelle Huppert, Maika Monroe, Colm Feore, Stephen Rea",,
5251,Ari Sandel,"Adam Devine, Alexandra Daddario, Shelley Hennig, Andrew Bachelor, Robbie Amell",10000000,
5252,Nicole Garcia,"Marion Cotillard, Louis Garrel, Àlex Brendemühl, Brigitte Roüan, Victoire du Bois",10300000,47748
5253,John Madden,"Helen Mirren, Tom Wilkinson, Sam Worthington, Ciarán Hinds, Jessica Chastain",20000000,45636368
5254,Patrice Leconte,"Thierry Lhermitte, Christian Clavier, Gérard Jugnot, Josiane Balasko, Michel Blanc",,
5255,Gavin Wiesen,"Freddie Highmore, Emma Roberts, Michael Angarano, Elizabeth Reaser, Alicia Silverstone",,1406224
5256,Jay Chandrasekhar,"Jay Chandrasekhar, Steve Lemme, Kevin Heffernan, Paul Soter, Brian Cox",3000000,23182223
5257,George Lucas,"Hayden Christensen, Ewan McGregor, Natalie Portman, Christopher Lee, Samuel L. Jackson",120000000,649398328
5258,Chris Miller,"Antonio Banderas, Salma Hayek Pinault, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris",130000000,554987477
5259,Ridley Scott,"Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba, Guy Pearce",130000000,403354469
5260,Rick Rosenthal,"Jamie Lee Curtis, Donald Pleasence, Charles Cyphers, Jeffrey Kramer, Lance Guest",2500000,25533818
5261,Chris Miller,"Antonio Banderas, Salma Hayek Pinault, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris",130000000,554987477
5262,Steven Soderbergh,"George Clooney, Brad Pitt, Matt Damon, Catherine Zeta-Jones, Andy García",110000000,362744280
5263,Christopher Landon,"Vince Vaughn, Kathryn Newton, Celeste O'Connor, Misha Osherovich, Uriah Shelton",5000000,15100000
5264,Josie Rourke,"Saoirse Ronan, Margot Robbie, Jack Lowden, Joe Alwyn, David Tennant",25000000,37800000
5265,Joe Carnahan,"Liam Neeson, Dermot Mulroney, Frank Grillo, Dallas Roberts, Nonso Anozie",25000000,77278331
5266,Nicholas Hytner,"Daniel Day-Lewis, Winona Ryder, Paul Scofield, Joan Allen, Bruce Davison",25000000,7343114
5267,Wong Jing,"Jackie Chan, Joey Wong, Richard Norton, Kumiko Goto, Chingmy Yau",,
5268,Jade Halley Bartlett,"Jenna Ortega, Martin Freeman, Bashir Salahuddin, Gideon Adlon, Dagmara Dominczyk",4000000,1430985
5269,Alberto Corredor,"Freya Allan, Jeremy Irvine, Ruby Barker, Peter Mullan, Anne Müller",,6278395
5270,Ted Demme,"Denis Leary, Judy Davis, Kevin Spacey, Glynis Johns, Robert J. Steinmiller Jr.",11000000,11400000
5271,Tom Shadyac,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc, Dan Marino",15000000,107217396
5272,Jay Roach,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner",16500000,67711748
5273,Mark Pellington,"Shirley MacLaine, Amanda Seyfried, Anne Heche, Thomas Sadoski, Philip Baker Hall",,1783421
5274,Daniel Attias,"Gary Busey, Everett McGill, Tovah Feldshuh, Megan Follows, Corey Haim",7000000,12400000
5275,Clint Eastwood,"Clint Eastwood, Sondra Locke, Pat Hingle, William Prince, Bill McKinney",5500000,26400000
5276,Rob Schneider,"Rob Schneider, David Carradine, Sally Kirkland, Jennifer Morrison, Scott Wilson",7500000,8742330
5277,Peter Howitt,"Gwyneth Paltrow, John Hannah, John Lynch, Jeanne Tripplehorn, Zara Turner",6000000,58809149
5278,John Fortenberry,"Chris Kattan, Will Ferrell, Dan Hedaya, Molly Shannon, Richard Grieco",17000000,30331165
5279,Claude Berri,"Audrey Tautou, Guillaume Canet, Laurent Stocker, Françoise Bertin, Danièle Lebrun",,
5280,Lewis Gilbert,"Sean Connery, Akiko Wakabayashi, Mie Hama, Tetsuro Tamba, Teru Shimada",9500000,111600000
5281,Lorene Scafaria,"Steve Carell, Keira Knightley, Connie Britton, Rob Corddry, Adam Brody",10000000,9636289
5282,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King",19000000,70067909
5283,Andy Tennant,"Will Smith, Eva Mendes, Kevin James, Amber Valletta, Julie Ann Emery",70000000,371600000
5284,Anna Kendrick,"Anna Kendrick, Daniel Zovatto, Tony Hale, Nicolette Robinson, Autumn Best",,
5285,James Bobin,"Mia Wasikowska, Johnny Depp, Anne Hathaway, Helena Bonham Carter, Alan Rickman",170000000,299457024
5286,David Schwimmer,"Clive Owen, Catherine Keener, Liana Liberato, Jason Clarke, Viola Davis",9500000,120000
5287,John Hamburg,"Paul Rudd, Jason Segel, Rashida Jones, Andy Samberg, J.K. Simmons",41000000,92000000
5288,Paul Verhoeven,"Rutger Hauer, Jennifer Jason Leigh, Tom Burlinson, Jack Thompson, Susan Tyrrell",6500000,100000
5289,Karey Kirkpatrick,"Bruce Willis, Garry Shandling, Steve Carell, Wanda Sykes, William Shatner",80000000,343397247
5290,James Vanderbilt,"Cate Blanchett, Robert Redford, Dennis Quaid, Elisabeth Moss, Bruce Greenwood",9600000,5383097
5291,Paul Thomas Anderson,"Joaquin Phoenix, Josh Brolin, Owen Wilson, Katherine Waterston, Reese Witherspoon",20000000,14710975
5292,Sanaa Hamri,"Queen Latifah, Common, Paula Patton, James Pickens Jr., Phylicia Rashād",,21520719
5293,Brian Yuzna,"Melinda Clarke, J. Trevor Edmond, Kent McCord, Sarah Douglas, James T. Callahan",2000000,54207
5294,Henry Selick,"Paul Terry, Miriam Margolyes, Joanna Lumley, Pete Postlethwaite, Simon Callow",38000000,28946127
5295,Sacha Gervasi,"Anthony Hopkins, Helen Mirren, Scarlett Johansson, Danny Huston, Toni Collette",15700000,23570541
5296,John Dahl,"Franklin D. Roosevelt, Benjamin Bratt, James Franco, Connie Nielsen, Logan Marshall-Green",80000000,10166502
5297,Adam McKay,"Will Ferrell, John C. Reilly, Richard Jenkins, Mary Steenburgen, Adam Scott",65000000,128100000
5298,Tony Bill,"James Franco, David Ellison, Jean Reno, Philip Winchester, Todd Boyce",60000000,17834865
5299,Don Bluth,"Matt Damon, Bill Pullman, Drew Barrymore, John Leguizamo, Nathan Lane",75000000,36754634
5300,Macon Blair,"Melanie Lynskey, Elijah Wood, David Yow, Jane Levy, Devon Graye",,
5301,Henry Selick,"Paul Terry, Miriam Margolyes, Joanna Lumley, Pete Postlethwaite, Simon Callow",38000000,28946127
5302,Fernando González Molina,"Marta Etura, Leonardo Sbaraglia, Susi Sánchez, Imanol Arias, Elvira Mínguez",,
5303,Hiroyuki Seshita,"Mamoru Miyano, Yuki Kaji, Tomokazu Sugita, Takahiro Sakurai, Junichi Suwabe",,876000
5304,Lynne Ramsay,"Joaquin Phoenix, Judith Roberts, Ekaterina Samsonov, John Doman, Alex Manette",17000000,9400000
5305,Kenny Ortega,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel, Corbin Bleu",,
5306,Jake Kasdan,"John C. Reilly, Jenna Fischer, Raymond J. Barry, Kristen Wiig, Tim Meadows",35000000,18317151
5307,Ben Stiller,"Winona Ryder, Ethan Hawke, Janeane Garofalo, Steve Zahn, Ben Stiller",11500000,33351557
5308,David Gordon Green,"Jamie Lee Curtis, Judy Greer, Andi Matichak, James Jude Courtney, Nick Castle",10000000,259939869
5309,Wolfgang Petersen,"Dustin Hoffman, Rene Russo, Morgan Freeman, Kevin Spacey, Cuba Gooding Jr.",50000000,189900000
5310,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd, Ian McDiarmid",115000000,924317558
5311,John Schultz,"Melissa Joan Hart, Adrian Grenier, Susan May Pratt, Kris Park, Ali Larter",8000000,22593409
5312,Stephen Herek,"Emilio Estevez, Joss Ackland, Lane Smith, Heidi Kling, Josef Sommer",10000000,50752337
5313,Geoffrey Wright,"Russell Crowe, Daniel Pollock, Jacqueline McKenzie, Alex Scott, Leigh Russell",1600000,3300000
5314,Steven Soderbergh,"Terence Stamp, Lesley Ann Warren, Luis Guzmán, Barry Newman, Joe Dallesandro",10000000,3204663
5315,Eli Roth,"Patrick Dempsey, Nell Verlaque, Addison Rae, Ty Olsson, Gina Gershon",15000000,46553280
5316,S. Craig Zahler,"Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White, Jennifer Carpenter",15000000,660132
5317,Nate Parker,"Nate Parker, Armie Hammer, Aja Naomi King, Jackie Earle Haley, Penelope Ann Miller",8500000,15861566
5318,Jim Mickle,"Michael C. Hall, Don Johnson, Sam Shepard, Vinessa Shaw, Nick Damici",,427418
5319,Phillip Noyce,"Brenton Thwaites, Odeya Rush, Jeff Bridges, Meryl Streep, Katie Holmes",25000000,66980456
5320,Fede Álvarez,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Elizabeth Blackmore",17000000,97542952
5321,Nate Parker,"Nate Parker, Armie Hammer, Aja Naomi King, Jackie Earle Haley, Penelope Ann Miller",8500000,15861566
5322,Jim Mickle,"Michael C. Hall, Don Johnson, Sam Shepard, Vinessa Shaw, Nick Damici",,427418
5323,Phillip Noyce,"Brenton Thwaites, Odeya Rush, Jeff Bridges, Meryl Streep, Katie Holmes",25000000,66980456
5324,Fede Álvarez,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Elizabeth Blackmore",17000000,97542952
5325,Bobs Gannaway,"Daveigh Chase, Chris Sanders, Tia Carrere, Zoe Caldwell, Kevin McDonald",,
5326,Makoto Shinkai,"Hidetaka Yoshioka, Masato Hagiwara, Yuuka Nanri, Unsho Ishizuka, Kazuhiko Inoue",,44483
5327,Andrew Patterson,"Sierra McCormick, Jake Horowitz, Bruce Davis, Gail Cronauer, Cheyenne Barton",,
5328,Dominic Sena,"Brad Pitt, David Duchovny, Juliette Lewis, Michelle Forbes, Sierra Pecheur",9000000,2395231
5329,Robert Mandel,"Bryan Brown, Brian Dennehy, Diane Venora, Cliff DeYoung, Mason Adams",10000000,20603715
5330,Burr Steers,"Kieran Culkin, Claire Danes, Jeff Goldblum, Jared Harris, Amanda Peet",9000000,4777465
5331,Robert Lorenz,"Liam Neeson, Kerry Condon, Ciarán Hinds, Jack Gleeson, Colm Meaney",,
5332,Phillip Noyce,"Nicole Kidman, Sam Neill, Billy Zane, George Shevtsov, Rod Mullinar",10400000,7825000
5333,Zal Batmanglij,"Brit Marling, Alexander Skarsgård, Elliot Page, Toby Kebbell, Shiloh Fernandez",6500000,2401510
5334,Guillermo del Toro,"Wesley Snipes, Kris Kristofferson, Ron Perlman, Leonor Varela, Norman Reedus",54000000,155010032
5335,Joe Dante,"Dee Wallace, Patrick Macnee, Dennis Dugan, Christopher Stone, Belinda Balaski",1000000,17985893
5336,Don Coscarelli,"Angus Scrimm, A. Michael Baldwin, Bill Thornbury, Reggie Bannister, Kathy Lester",300000,11988469
5337,Michael Apted,"Jodie Foster, Liam Neeson, Natasha Richardson, Richard Libertini, Robin Mullins",31000000,106683817
5338,Salvatore Ficarra,"Salvatore Ficarra, Valentino Picone, Vincenzo Amato, Tony Sperandeo, Leo Gullotta",,
5339,Cédric Jimenez,"Jason Clarke, Rosamund Pike, Jack O'Connell, Jack Reynor, Mia Wasikowska",32679734,4412639
5340,Jerry Lewis,"Jerry Lewis, Stella Stevens, Del Moore, Henry Gibson, Kathleen Freeman",,
5341,Toby Haynes,"Benedict Cumberbatch, Rory Kinnear, John Heffernan, Oliver Maltman, Richard Goulding",,
5342,Assaf Bernstein,"India Eisley, Jason Isaacs, Mira Sorvino, Penelope Mitchell, John C. MacDonald",,1119537
5343,Guy Ritchie,"Charlie Hunnam, Jude Law, Astrid Bergès-Frisbey, Eric Bana, Djimon Hounsou",175000000,148700000
5344,Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes, Monica Bellucci",245000000,880707597
5345,Guillaume Ivernel,"Vincent Lindon, Patrick Timsit, Philippe Nahon, Amanda Lear, Marie Drion",12000000,12235843
5346,Zach Braff,"Zach Braff, Kate Hudson, Joey King, Mandy Patinkin, Ashley Greene",5500000,5483299
5347,Lee Seung-moo,"Jang Dong-gun, Kate Bosworth, Geoffrey Rush, Danny Huston, Ti Lung",42000000,11100000
5348,Nigel Cole,"Helen Mirren, Julie Walters, John Alderton, Linda Bassett, Annette Crosbie",10000000,96542059
5349,Michael Haneke,"Naomi Watts, Tim Roth, Michael Pitt, Brady Corbet, Devon Gearhart",15000000,7938872
5350,Peter Hedges,"Steve Carell, Juliette Binoche, Dane Cook, Alison Pill, Britt Robertson",25000000,68474305
5351,Boris Kunz,"Kostja Ullmann, Corinna Kirchhoff, Marlene Tanczik, Iris Berben, Lisa-Marie Koroll",,
5352,Adam Robitel,"Taylor Russell, Logan Miller, Indya Moore, Holland Roden, Thomas Cocquerel",15000000,65774490
5353,Robert Zemeckis,"Steve Carell, Leslie Mann, Merritt Wever, Janelle Monáe, Diane Kruger",39000000,12800000
5354,Noah Baumbach,"Greta Gerwig, Lola Kirke, Matthew Shear, Jasmine Cephas Jones, Heather Lind",,2500431
5355,Tommy Lee Jones,"Hilary Swank, Tommy Lee Jones, Grace Gummer, Miranda Otto, Sonja Richter",16000000,3442853
5356,Gus Van Sant,"Gabe Nevins, Dan Liu, Jake Miller, Taylor Momsen, Lauren McKinney",3000000,4545747
5357,Alessandro Genovesi,"Caterina Ferioli, Simone Baldasseroni, Sabrina Paravicini, Alessandro Bedetti, Roberta Rovelli",7000000,
5358,Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, John Goodman, Brie Larson, Jing Tian",185000000,566652812
5359,Robert Redford,"James McAvoy, Robin Wright, Evan Rachel Wood, Kevin Kline, Alexis Bledel",25000000,15478800
5360,James Gunn,"Nathan Fillion, Michael Rooker, Elizabeth Banks, Gregg Henry, Tania Saulnier",15000000,12800000
5361,James Gunn,"Nathan Fillion, Michael Rooker, Elizabeth Banks, Gregg Henry, Tania Saulnier",15000000,12800000
5362,Mike Barker,"Mila Kunis, Chiara Aurelia, Finn Wittrock, Connie Britton, Scoot McNairy",,
5363,Adrian Grünberg,"Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adriana Barraza, Yvette Monreal",50000000,91500000
5364,Tim Story,"Samuel L. Jackson, Jessie T. Usher, Regina Hall, Alexandra Shipp, Richard Roundtree",30000000,21360215
5365,Mike Leigh,"Timothy Spall, Dorothy Atkinson, Marion Bailey, Paul Jesson, Lesley Manville",,22179785
5366,Tommy Wirkola,"Vegar Hoel, Ørjan Gamst, Jocelyn DeBoer, Martin Starr, Ingrid Haas",,37473
5367,Jun Falkenstein,"Jim Cummings, Nikita Hopkins, Ken Sansom, John Fiedler, Peter Cullen",30000000,45554533
5368,Ralph Zondag,"D.B. Sweeney, Alfre Woodard, Ossie Davis, Max Casella, Hayden Panettiere",127500000,354248063
5369,Tom Shadyac,"Kevin Costner, Joe Morton, Ron Rifkin, Susanna Thompson, Kathy Bates",60000000,52322400
5370,Colm McCarthy,"Sennia Nanua, Gemma Arterton, Paddy Considine, Glenn Close, Fisayo Akinade",5005600,
5371,Sam Raimi,"Sharon Stone, Gene Hackman, Russell Crowe, Leonardo DiCaprio, Tobin Bell",35000000,47000000
5372,Jonathan Demme,"Jeff Daniels, Melanie Griffith, Ray Liotta, George 'Red' Schwartz, Margaret Colin",,8362969
5373,Mamoru Oshii,"Małgorzata Foremniak, Władysław Kowalski, Jerzy Gudejko, Dariusz Biskupski, Bartłomiej Świderski",8000000,8826094
5374,Rob Reiner,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, Anna Deavere Smith",62000000,107879496
5375,Gore Verbinski,"Nathan Lane, Lee Evans, Vicki Lewis, Maury Chaykin, Eric Christmas",38000000,122417389
5376,Anna Foerster,"Allison Janney, Jurnee Smollett, Logan Marshall-Green, Ridley Asha Bateman, Matt Craven",,
5377,J. A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith, Daniella Pineda",170000000,1310466296
5378,David Koepp,"Ricky Gervais, Greg Kinnear, Téa Leoni, Billy Campbell, Aasif Mandvi",20000000,27100000
